Flower_Name,Color,Average_Height_cm,Scent,Bloom_Season,Petal_Shape
Marigold,Orange,46.904408921036726,Strong,Winter,Star-shaped
Rose,White,,Strong,Spring,Oval
Lavender,Purple,43.70354663470169,None,Winter,Elongated
Orchid,Purple,34.045329859903894,None,Fall,Oval
Orchid,White,30.982787353711124,Strong,Winter,Oval
Sunflower,Yellow,150.25404150649024,Strong,Summer,Round
,Red,64.17585210356756,Strong,Spring,Oval
Marigold,Orange,46.45485060058512,Mild,Summer,Star-shaped
Lotus,Pink,77.21036677642905,Mild,Spring,Round
Orchid,Purple,27.873428527184405,Strong,Summer,Oval
Sunflower,Yellow,145.7421055552504,None,Summer,Round
Lavender,Purple,35.572332098697196,Strong,Summer,
Orchid,White,34.99763367172791,None,Fall,Oval
,Orange,45.44853861939354,Mild,Summer,Star-shaped
Tulip,Red,44.246637434924324,Strong,Summer,Elongated
Orchid,Purple,26.61704025380329,Mild,Winter,Oval
Daisy,White,27.906817813321087,None,Fall,Round
Lavender,Purple,42.619287325452,Strong,Winter,Elongated
Daisy,White,23.58178979378082,Mild,Spring,Round
Daisy,Yellow,23.444446780823178,Mild,Summer,Round
Rose,Red,61.03963412506868,Mild,Fall,Oval
Sunflower,Yellow,154.05281127347328,Strong,Summer,Round
Marigold,Yellow,50.826639675161715,Mild,Fall,
Tulip,Purple,46.02121312297875,Mild,Summer,Elongated
Lotus,Pink,76.30555251665706,None,Summer,Round
Orchid,White,28.83703054277641,None,Spring,Oval
Lotus,Pink,78.83696675431094,Mild,Winter,Round
Daisy,Yellow,28.17348493985898,Mild,Summer,
Sunflower,Yellow,149.70463583198898,None,Summer,Round
Orchid,Purple,31.260502617518505,,Summer,Oval
Orchid,White,29.83094452047929,None,Fall,
Marigold,Orange,52.537084015334564,Mild,Spring,Star-shaped
Tulip,Yellow,42.575082949438766,None,,Elongated
Lavender,Purple,37.95881310758841,Mild,Spring,Elongated
Daisy,Yellow,27.443490155466744,Mild,Winter,Round
Daisy,Yellow,,Strong,Winter,Round
Lavender,Purple,44.07019169591652,None,Winter,Elongated
Sunflower,Yellow,152.42805187762923,Strong,Summer,Round
Sunflower,Yellow,154.16148809645,,Fall,Round
Orchid,Purple,34.853055835659674,,Summer,Oval
Marigold,Yellow,54.20727275946119,None,Summer,Star-shaped
Sunflower,Yellow,145.41421023344188,Mild,Summer,
Marigold,Yellow,,Strong,Fall,
Sunflower,Yellow,154.74036080049675,Mild,Winter,Round
Lotus,Pink,84.77068674550577,Strong,Spring,Round
Lavender,Purple,41.651388322321104,Mild,Spring,Elongated
Tulip,Yellow,44.07288881256302,None,Winter,Elongated
Sunflower,Yellow,152.05603780482164,Strong,,Round
,White,33.66640154500066,Strong,Fall,Oval
Orchid,Purple,26.94882023117258,Strong,Spring,Oval
Daisy,White,23.37201320873828,Strong,Spring,Round
Lavender,,40.67506564469616,Mild,Spring,Elongated
Marigold,Yellow,47.89359380175541,Strong,Winter,Star-shaped
Lavender,Purple,36.30878912193246,Mild,Winter,Elongated
Lavender,Purple,40.47340187321484,,Spring,Elongated
Lavender,Purple,35.653312710915515,Mild,Summer,
Rose,Pink,61.40134650745869,Mild,Spring,Oval
Daisy,Yellow,24.96754716408231,Mild,Fall,Round
Marigold,Yellow,50.113626604737256,Mild,Spring,Star-shaped
Lotus,White,82.84478277210094,Strong,Fall,Round
Daisy,Yellow,20.613860530333376,Strong,Summer,Round
Daisy,,20.12507400793551,Mild,,Round
Lavender,Purple,42.48757005985693,Mild,Winter,Elongated
Lotus,Pink,79.3893548415112,Mild,Fall,Round
Rose,White,61.90857008660234,None,Spring,Oval
Sunflower,Yellow,146.94273800726708,Strong,Spring,
Orchid,Purple,31.2709225059927,Strong,Summer,Oval
Marigold,Orange,45.72701748288246,Mild,Fall,Star-shaped
,Yellow,21.527491028114053,Mild,Fall,Round
Sunflower,Yellow,147.9805377285971,,Spring,Round
Lotus,Pink,80.88664511263187,Strong,Fall,Round
Sunflower,Yellow,153.8480330005966,None,Winter,Round
Marigold,Yellow,51.236207892408146,None,,Star-shaped
Tulip,Purple,43.06015524623215,,Fall,Elongated
Tulip,Purple,41.849161469547965,Mild,Winter,Elongated
Marigold,Orange,51.97087656225868,Mild,,Star-shaped
Lavender,Purple,43.957157158520374,Mild,Summer,Elongated
Tulip,,45.91823970733505,Mild,Winter,Elongated
Orchid,White,32.44908957059725,Strong,Fall,Oval
Rose,Red,55.8039311488929,Strong,Winter,Oval
Tulip,Red,42.99504369843489,,Spring,Elongated
Lotus,Pink,81.74695950345775,Strong,Spring,Round
Sunflower,Yellow,147.5551719896034,Mild,,Round
Lavender,Purple,43.550952440433505,Mild,Summer,Elongated
Rose,Red,58.9226229545051,None,Summer,Oval
Lavender,Purple,42.06935147740412,Mild,Summer,Elongated
Lotus,,80.20849589861254,None,,Round
Lavender,Purple,38.52955863966622,Strong,Spring,Elongated
Marigold,Orange,48.309232057186335,Strong,Winter,Star-shaped
Tulip,Purple,,Mild,Winter,Elongated
Orchid,Purple,34.11861565201375,None,Winter,
Lavender,Purple,40.928037310812066,Strong,Summer,Elongated
Daisy,White,20.88830955748181,Strong,Winter,Round
Sunflower,Yellow,149.304214357604,Strong,Spring,Round
Tulip,Purple,44.78274699623313,Strong,Winter,Elongated
Daisy,Yellow,,None,,Round
Marigold,Orange,50.51833405828322,None,,Star-shaped
Lavender,Purple,42.728712657052185,None,Summer,Elongated
Marigold,Orange,50.405605256393244,Strong,Winter,Star-shaped
Marigold,,49.55815786769531,Mild,Spring,
Daisy,White,24.149405134463834,Mild,Fall,Round
Sunflower,Yellow,149.96274399839342,Strong,Summer,Round
Rose,Pink,62.94408453246915,Mild,Fall,Oval
Sunflower,Yellow,151.3188448162481,None,Fall,Round
Tulip,Red,49.01037631868602,None,Winter,Elongated
Lavender,Purple,40.187693180106784,Mild,Summer,Elongated
Rose,White,56.57707591956487,Strong,Summer,Oval
Marigold,Orange,45.52069032364093,Strong,Fall,Star-shaped
Daisy,White,28.765567500360767,Mild,Spring,
Lotus,Pink,83.54794803788585,Mild,Summer,Round
Tulip,Purple,46.44535879925075,Strong,Fall,Elongated
Orchid,Purple,26.92120021215033,Strong,Spring,Oval
Lotus,White,78.57364239593821,Strong,Summer,Round
Marigold,Yellow,48.041291856090375,Mild,Winter,Star-shaped
Marigold,Yellow,49.57268007614227,Strong,Spring,Star-shaped
Daisy,Yellow,20.57895947502556,Strong,Spring,Round
Marigold,Orange,48.55328600649192,None,Spring,
Rose,,60.03193483272326,None,Fall,
Orchid,White,26.92586650029496,Mild,Winter,Oval
,Pink,58.28212217907417,Strong,Summer,Oval
Marigold,Yellow,49.92657747850279,Mild,Winter,Star-shaped
Marigold,Orange,53.9081897606712,None,Summer,Star-shaped
Tulip,Yellow,48.2613714239894,Mild,Fall,Elongated
Lavender,Purple,42.13343812613736,Mild,Winter,Elongated
Marigold,Orange,47.9500955348218,None,Spring,Star-shaped
Rose,Pink,60.32823795691942,None,Fall,Oval
Lavender,Purple,35.906218231491806,Strong,Fall,Elongated
